rank,artist,song
1,Drake,God's Plan
2,Ed Sheeran,Perfect
3,Bebe Rexha & Florida Georgia Line,Meant To Be
4,Camila Cabello Featuring Young Thug,Havana
5,Post Malone Featuring 21 Savage,Rockstar
6,Post Malone Featuring Ty Dolla $ign,Psycho
7,"Cardi B, Bad Bunny & J Balvin",I Like It
8,"Zedd, Maren Morris & Grey",The Middle
9,Drake,In My Feelings
10,Maroon 5 Featuring Cardi B,Girls Like You
11,Drake,Nice For What
12,Juice WRLD,Lucid Dreams
13,Post Malone,Better Now
14,Bruno Mars & Cardi B,Finesse
15,Ella Mai,Boo'd Up
16,Dua Lipa,New Rules
17,XXXTENTACION,Sad!
18,Camila Cabello,Never Be The Same
19,Khalid & Normani,Love Lies
20,Ariana Grande,No Tears Left To Cry
21,Bazzi,Mine
22,Imagine Dragons,Thunder
23,BlocBoy JB Featuring Drake,Look Alive
24,Taylor Swift,Delicate
25,Lil Baby & Drake,Yes Indeed
26,Marshmello & Anne-Marie,Friends
27,Halsey,Bad At Love
28,Tyga Featuring Offset,Taste
29,NF,Let You Down
30,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit
31,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE
32,Dan + Shay,Tequila
33,Portugal. The Man,Feel It Still
34,"Migos, Nicki Minaj & Cardi B",MotorSport
35,Lauv,I Like Me Better
36,5 Seconds Of Summer,Youngblood
37,Imagine Dragons,Whatever It Takes
38,Offset & Metro Boomin,Ric Flair Drip
39,Post Malone,I Fall Apart
40,The Weeknd & Kendrick Lamar,Pray For Me
41,Selena Gomez,Back To You
42,Travis Scott,Sicko Mode
43,Migos Featuring Drake,Walk It Talk It
44,Lil Pump,Gucci Gang
45,G-Eazy & Halsey,Him & I
46,Shawn Mendes,In My Blood
47,Kendrick Lamar & SZA,All The Stars
48,Migos,Stir Fry
49,Sam Smith,Too Good At Goodbyes
50,Kendrick Lamar Featuring Zacari,Love.
51,Childish Gambino,This Is America
52,Drake,Nonstop
53,Kane Brown,Heaven
54,Cardi B,Bodak Yellow (Money Moves)
55,Lil Dicky Featuring Chris Brown,Freaky Friday
56,6ix9ine,Gummo
57,Rich The Kid,Plug Walk
58,Maroon 5,Wait
59,Cardi B,Be Careful
60,Selena Gomez X Marshmello,Wolves
61,Cardi B Featuring 21 Savage,Bartier Cardi
62,Ariana Grande,God Is A Woman
63,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
64,Demi Lovato,Sorry Not Sorry
65,Charlie Puth,How Long
66,MAX Featuring gnash,Lights Down Low
67,Khalid,Young Dumb & Broke
68,Calvin Harris & Dua Lipa,One Kiss
69,Imagine Dragons,Natural
70,Jason Aldean,You Make It Easy
71,Ed Sheeran,Shape Of You
72,Gucci Mane Featuring Migos,I Get The Bag
73,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer
74,A$AP Ferg Featuring Nicki Minaj,Plain Jane
75,Miguel Featuring Travis Scott,Sky Walker
76,Thomas Rhett,Marry Me
77,"benny blanco, Halsey & Khalid",Eastside
78,The Weeknd,Call Out My Name
79,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead
80,Marshmello & Bastille,Happier
81,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote
82,Florida Georgia Line,Simple
83,N*E*R*D & Rihanna,Lemon
84,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
85,Justin Timberlake Featuring Chris Stapleton,Say Something
86,Drake,I'm Upset
87,Kenny Chesney,Get Along
88,XXXTENTACION,Moonlight
89,Maroon 5 Featuring SZA,What Lovers Do
90,Nicky Jam x J Balvin,X
91,YoungBoy Never Broke Again,Outside Today
92,Ella Mai,Trip
93,Daddy Yankee,Dura
94,XXXTENTACION,Changes
95,Brett Young,Mercy
96,Luke Combs,One Number Away
97,Rae Sremmurd & Juicy J,Powerglide
98,Dua Lipa,IDGAF
99,J Balvin & Willy William Featuring Beyonce,Mi Gente
100,Imagine Dragons,Believer
