rank,artist,song
1,Prince,When Doves Cry
2,Tina Turner,What's Love Got To Do With It
4,Kenny Loggins,Footloose
5,Phil Collins,Against All Odds (Take A Look At Me Now)
6,Van Halen,Jump
7,Lionel Richie,Hello
9,Ray Parker Jr.,Ghostbusters
10,Culture Club,KARMA CHAMELEON
11,John Waite,Missing You
12,Lionel Richie,All Night Long (All Night)
13,Deniece Williams,Let's Hear It For The Boy
14,Bruce Springsteen,Dancing In The Dark
15,Cyndi Lauper,Girls Just Want To Have Fun
16,Duran Duran,The Reflex
17,Cyndi Lauper,Time After Time
18,The Pointer Sisters,Jump (for My Love)
19,The Romantics,Talking In Your Sleep
20,Laura Branigan,Self Control
21,Prince And The Revolution,Let's Go Crazy
23,Thompson Twins,Hold Me Now
24,Kool & The Gang,Joanna
25,Stevie Wonder,I Just Called To Say I Love You
26,Rockwell,Somebody's Watching Me
27,Matthew Wilder,Break My Stride
28,Nena,99 Luftballons
29,Dan Hartman,I Can Dream About You
30,Sheila E.,The Glamorous Life
31,Steve Perry,Oh Sherrie
32,Lionel Richie,Stuck On You
33,Elton John,I Guess That's Why They Call It The Blues
34,Cyndi Lauper,She Bop
35,Madonna,Borderline
36,Corey Hart,Sunglasses At Night
37,Billy Idol,Eyes Without A Face
38,Eurythmics,Here Comes The Rain Again
39,Billy Joel,Uptown Girl
40,Night Ranger,Sister Christian
41,The Cars,Drive
42,Olivia Newton-John,Twist of Fate
43,Duran Duran,UNION OF THE SNAKE
45,Chicago,Hard Habit To Break
46,Scandal Featuring Patty Smyth,The Warrior
47,Peabo Bryson,If Ever You're In My Arms Again
48,The Pointer Sisters,Automatic
49,Shannon,LET THE MUSIC PLAY
50,Julio Iglesias & Willie Nelson,To All The Girls I've Loved Before
52,Genesis,That's All
53,Lionel Richie,Running With The Night
54,Elton John,Sad Songs (Say So Much)
55,Huey Lewis & The News,I Want A New Drug
57,Pat Benatar,Love Is A Battlefield
58,Rod Stewart,Infatuation
60,ZZ Top,Legs
62,Rick Springfield,Love Somebody
63,Culture Club,MISS ME BLIND
64,Huey Lewis & The News,If This Is It
65,The Cars,You Might Think
66,Madonna,Lucky Star
67,Bruce Springsteen,Cover Me
68,Quiet Riot,Cum On Feel The Noize
69,Irene Cara,Breakdance
71,Tracey Ullman,They Don't Know
72,Billy Joel,An Innocent Man
73,Bananarama,Cruel Summer
74,Wang Chung,Dance Hall Days
76,The Pointer Sisters,I'm So Excited
77,Ray Parker Jr.,I Still Can't Get Over Loving You
79,Madonna,Holiday
81,John Lennon,Nobody Told Me
82,Culture Club,Church Of The Poison Mind
83,Christopher Cross,Think Of Laura
84,Debarge,Time Will Reveal
85,The Police,Wrapped Around Your Finger
87,Ratt,Round And Round
88,Go-Go's,Head Over Heels
89,Billy Joel,The Longest Time
90,Kool & The Gang,Tonight
91,Christine McVie,Got A Hold On Me
92,Shalamar,Dancing In The Sheets
93,The Rolling Stones,UNDERCOVER OF THE NIGHT
94,John Cafferty & The Beaver Brown Band,On The Dark Side
95,Duran Duran,New Moon On Monday
96,Peter Schilling,Major Tom (Coming Home)
97,The Cars,Magic
98,Night Ranger,When You Close Your Eyes
99,Billy Squier,Rock Me Tonite
100,James Ingram With Michael McDonald,Yah Mo Be There
