rank,artist,song
1,Ed Sheeran,Shape Of You
2,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
3,Bruno Mars,That's What I Like
4,Kendrick Lamar,Humble.
5,The Chainsmokers & Coldplay,Something Just Like This
6,Migos Featuring Lil Uzi Vert,Bad And Boujee
7,The Chainsmokers Featuring Halsey,Closer
8,Sam Hunt,Body Like A Back Road
9,Imagine Dragons,Believer
10,Post Malone Featuring Quavo,Congratulations
11,James Arthur,Say You Won't Let Go
12,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
13,Lil Uzi Vert,XO TOUR Llif3
14,Future,Mask Off
15,French Montana Featuring Swae Lee,Unforgettable
16,Bruno Mars,24K Magic
17,Zedd & Alessia Cara,Stay
18,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts
19,Rae Sremmurd Featuring Gucci Mane,Black Beatles
20,The Weeknd Featuring Daft Punk,Starboy
21,Khalid,Location
22,Charlie Puth,Attention
23,Shawn Mendes,There's Nothing Holdin' Me Back
24,Cardi B,Bodak Yellow (Money Moves)
25,Childish Gambino,Redbone
26,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker)
27,Kygo x Selena Gomez,It Ain't Me
28,KYLE Featuring Lil Yachty,iSpy
29,Julia Michaels,Issues
30,Alessia Cara,Scars To Your Beautiful
31,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
32,Niall Horan,Slow Hands
33,Rihanna,Love On The Brain
34,The Weeknd Featuring Daft Punk,I Feel It Coming
35,Big Sean,Bounce Back
36,Liam Payne Featuring Quavo,Strip That Down
37,Drake,Fake Love
38,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know
39,Taylor Swift,Look What You Made Me Do
40,Ed Sheeran,Castle On The Hill
41,Machine Gun Kelly x Camila Cabello,Bad Things
42,The Chainsmokers,Paris
43,Ariana Grande Featuring Nicki Minaj,Side To Side
44,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye
45,Portugal. The Man,Feel It Still
46,DJ Snake Featuring Justin Bieber,Let Me Love You
47,Demi Lovato,Sorry Not Sorry
48,21 Savage,Bank Account
49,Justin Timberlake,Can't Stop The Feeling!
50,J Balvin & Willy William Featuring Beyonce,Mi Gente
51,Imagine Dragons,Thunder
52,Migos,T-Shirt
53,Yo Gotti Featuring Nicki Minaj,Rake It Up
54,Shawn Mendes,Mercy
55,Kodak Black,Tunnel Vision
56,Post Malone Featuring 21 Savage,Rockstar
57,Brett Young,In Case You Didn't Know
58,twenty one pilots,Heathens
59,Halsey,Now Or Never
60,Amine,Caroline
61,Ayo & Teo,Rolex
62,Kendrick Lamar,DNA.
63,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
64,Rae Sremmurd,Swang
65,Drake,Passionfruit
66,Kendrick Lamar Featuring Rihanna,Loyalty.
67,Kesha,Praying
68,Travis Scott,Goosebumps
69,Maroon 5 Featuring Future,Cold
70,D.R.A.M. Featuring Lil Yachty,Broccoli
71,Calvin Harris Featuring Frank Ocean & Migos,Slide
72,Kane Brown Featuring Lauren Alaina,What Ifs
73,Katy Perry Featuring Skip Marley,Chained To The Rhythm
74,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
75,Jon Bellion,All Time Low
76,Luke Combs,Hurricane
77,Sam Smith,Too Good At Goodbyes
78,Khalid,Young Dumb & Broke
79,Playboi Carti,Magnolia
80,SZA Featuring Travis Scott,Love Galore
81,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning
82,Hailee Steinfeld & Grey Featuring Zedd,Starving
83,Gucci Mane Featuring Drake,Both
84,P!nk,What About Us
85,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla
86,Migos Featuring Gucci Mane,Slippery
87,Harry Styles,Sign Of The Times
88,Adele,Water Under The Bridge
89,Miley Cyrus,Malibu
90,Marian Hill,Down
91,Cheat Codes Featuring Demi Lovato,No Promises
92,Shawn Mendes,Treat You Better
93,Gucci Mane Featuring Migos,I Get The Bag
94,Dustin Lynch,Small Town Boy
95,YFN Lucci Featuring PnB Rock,Everyday We Lit
96,Camila Cabello Featuring Young Thug,Havana
97,Maroon 5 Featuring SZA,What Lovers Do
98,blackbear,Do Re Mi
99,XXXTENTACION,Look At Me!
100,Keith Urban Featuring Carrie Underwood,The Fighter
